"Date","Result","WhiteElo","BlackElo","NMoves","game_id","Player","Name"
"2021.06.07","Jan-00",2452,2474,29,16058844,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","Jan-00",2452,2474,29,16058844,"BlackPlayerName","Vincent Keymer"
"2021.06.07","0-1",2452,2201,51,16058846,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","0-1",2452,2201,51,16058846,"BlackPlayerName","Jonas Buhl Bjerre"
"2021.06.07","0-1",2474,2452,40,16058848,"WhitePlayerName","Vincent Keymer"
"2021.06.07","0-1",2474,2452,40,16058848,"BlackPlayerName","Paulius Pultinevicius"
"2021.06.07","0-1",2446,2436,53,16058856,"WhitePlayerName","Thai Dai Van Nguyen"
"2021.06.07","0-1",2446,2436,53,16058856,"BlackPlayerName","Denis Lazavik"
"2021.06.07","Jan-00",2452,2201,28,16058858,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","Jan-00",2452,2201,28,16058858,"BlackPlayerName","Jonas Buhl Bjerre"
"2021.06.07","Jan-00",2452,2474,49,16058862,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","Jan-00",2452,2474,49,16058862,"BlackPlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2452,49,16058864,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2452,49,16058864,"BlackPlayerName","Paulius Pultinevicius"
"2021.06.07","0-1",2452,2474,52,16058872,"WhitePlayerName","Paulius Pultinevicius"
"2021.06.07","0-1",2452,2474,52,16058872,"BlackPlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2452,33,16058880,"WhitePlayerName","Vincent Keymer"
"2021.06.07","Jan-00",2474,2452,33,16058880,"BlackPlayerName","Paulius Pultinevicius"
"2021.06.07","1/2-1/2",2474,2452,96,16058892,"WhitePlayerName","Vincent Keymer"
"2021.06.07","1/2-1/2",2474,2452,96,16058892,"BlackPlayerName","Paulius Pultinevicius"
"2021.06.07","1/2-1/2",2474,2452,80,16058904,"WhitePlayerName","Vincent Keymer"
"2021.06.07","1/2-1/2",2474,2452,80,16058904,"BlackPlayerName","Paulius Pultinevicius"
"2021.06.07","0-1",2436,2509,49,16058910,"WhitePlayerName","Denis Lazavik"
